term,df,idf
ikan,1,6.8763342398543505
daftar,2,6.470869131746186
jakarta,5,5.7777219511862405
cnbc,5,5.7777219511862405
dewan,1,6.8763342398543505
den,1,6.8763342398543505
ingat,5,5.7777219511862405
gandeng,1,6.8763342398543505
sektor,4,5.960043507980195
manufaktur,1,6.8763342398543505
tingkat,35,3.985962481958186
implementasi,4,5.960043507980195
angka,4,5.960043507980195
kurang,101,2.944508607130025
cowok,13,4.930424090799038
milik,8,5.372256843078077
nilai,12,5.00453206295276
naik,19,4.573749146860305
pamduan,1,6.8763342398543505
uap,3,6.183187059294405
lembab,4,5.960043507980195
khujanan,1,6.8763342398543505
urip,1,6.8763342398543505
keramut,1,6.8763342398543505
ngembun,1,6.8763342398543505
pom,5,5.7777219511862405
mbanyol,1,6.8763342398543505
onok,2,6.470869131746186
atus,1,6.8763342398543505
siji,1,6.8763342398543505
sing,4,5.960043507980195
tuku,2,6.470869131746186
khawatir,12,5.00453206295276
tanah,5,5.7777219511862405
bagai,7,5.49003987873446
daerah,7,5.49003987873446
kelembaban,3,6.183187059294405
dorong,17,4.679109662518131
sir,1,6.8763342398543505
miles,1,6.8763342398543505
axlerod,1,6.8763342398543505
cipta,2,6.470869131746186
allinol,1,6.8763342398543505
menjatuhlan,1,6.8763342398543505
gantung,22,4.433987204485146
minggu,2,6.470869131746186
mah,4,5.960043507980195
daya,20,4.5249589826908725
mineral,19,4.573749146860305
lahadalia,33,4.043120895798134
tebu,30,4.13549421592915
jagung,17,4.679109662518131
berita,8,5.372256843078077
medsos,1,6.8763342398543505
jatim,8,5.372256843078077
ditemuin,1,6.8763342398543505
unsur,3,6.183187059294405
cocok,9,5.26689632742025
atas,15,4.796892698174515
yaudah,2,6.470869131746186
habis,5,5.7777219511862405
tonton,2,6.470869131746186
konser,1,6.8763342398543505
blackpink,1,6.8763342398543505
lupa,2,6.470869131746186
siapa,4,5.960043507980195
tahu,16,4.73626807635808
voucher,1,6.8763342398543505
desain,2,6.470869131746186
letak,1,6.8763342398543505
anjing,2,6.470869131746186
asih,1,6.8763342398543505
udel,1,6.8763342398543505
tampa,2,6.470869131746186
mau,26,4.273644554409967
lapang,4,5.960043507980195
sedang,6,5.6235712713589825
tanggap,4,5.960043507980195
pt,8,5.372256843078077
astra,2,6.470869131746186
daihatsu,1,6.8763342398543505
adm,1,6.8763342398543505
seluruh,9,5.26689632742025
adaptasi,1,6.8763342398543505
sobat,2,6.470869131746186
essentials,2,6.470869131746186
wacana,4,5.960043507980195
upaya,5,5.7777219511862405
rupa,7,5.49003987873446
pernah,6,5.6235712713589825
presiden,18,4.625042441247856
susilo,1,6.8763342398543505
bambang,1,6.8763342398543505
yudhoyono,1,6.8763342398543505
lanjut,10,5.171586147615925
biaya,3,6.183187059294405
gelap,1,6.8763342398543505
mahal,10,5.171586147615925
good,1,6.8763342398543505
looking,1,6.8763342398543505
padu,1,6.8763342398543505
honda,6,5.6235712713589825
tera,1,6.8763342398543505
maksimal,3,6.183187059294405
bahkan,17,4.679109662518131
larang,5,5.7777219511862405
betul,5,5.7777219511862405
indikasi,1,6.8763342398543505
curang,1,6.8763342398543505
tg,1,6.8763342398543505
mawon,1,6.8763342398543505
tambah,16,4.73626807635808
kerak,4,5.960043507980195
jebol,1,6.8763342398543505
korisif,1,6.8763342398543505
nyumbat,1,6.8763342398543505
salur,4,5.960043507980195
dalamair,1,6.8763342398543505
tiba,1,6.8763342398543505
buka,4,5.960043507980195
gae,1,6.8763342398543505
ngambu,1,6.8763342398543505
luk,1,6.8763342398543505
tok,1,6.8763342398543505
ayo,7,5.49003987873446
mati,6,5.6235712713589825
dw,1,6.8763342398543505
nah,3,6.183187059294405
info,6,5.6235712713589825
dek,1,6.8763342398543505
nyerep,1,6.8763342398543505
cmiiw,1,6.8763342398543505
mbe,2,6.470869131746186
sg,1,6.8763342398543505
lembap,1,6.8763342398543505
makin,14,4.861431219312086
makae,1,6.8763342398543505
punyae,1,6.8763342398543505
wong,3,6.183187059294405
seng,1,6.8763342398543505
ditaro,1,6.8763342398543505
misah,2,6.470869131746186
koyok,2,6.470869131746186
onk,1,6.8763342398543505
teknis,7,5.49003987873446
relatif,2,6.470869131746186
suling,1,6.8763342398543505
limbah,2,6.470869131746186
molases,1,6.8763342398543505
harga,26,4.273644554409967
kompetitif,1,6.8763342398543505
subsidi,8,5.372256843078077
eddy,2,6.470869131746186
sulfur,11,5.084574770626295
tekan,14,4.861431219312086
polusi,6,5.6235712713589825
potong,1,6.8763342398543505
karbon,22,4.433987204485146
sempat,2,6.470869131746186
batal,7,5.49003987873446
purbaya,1,6.8763342398543505
modal,1,6.8763342398543505
harus,5,5.7777219511862405
dong,7,5.49003987873446
tuntut,1,6.8763342398543505
bidang,4,5.960043507980195
bumn,1,6.8763342398543505
pecat,1,6.8763342398543505
denatured,2,6.470869131746186
alcohol,3,6.183187059294405
zat,2,6.470869131746186
denaturan,1,6.8763342398543505
minum,4,5.960043507980195
penuh,6,5.6235712713589825
standar,23,4.39142759006635
wooozh,1,6.8763342398543505
paksa,5,5.7777219511862405
per,7,5.49003987873446
liter,10,5.171586147615925
